v3,1 ile 10. satır aralığı yönetici bazlı v3 performans tablosudur (Varış merkezinde 12:00 den önce karşılanan seferleri hesaplar),,,,,,,Only City,,,,,,,,Saatlik 1. slot yetişme oranları,,,,,,,,,,Saatlik 2. slot yetişme oranları,,,,,,,,,,Saatlik hesaplanan adetler,,,,,,"69,39%","97,53%",,,01:00 den 16:00 ya kadar yüklenen adetler,,,,,,,,,Günlük yetişme oranları,,,,,,
Buse Nizam,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Buse Nizam,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Buse Nizam,17,18,19,20,21,22,23,0,,Buse Nizam,17,18,19,20,21,22,23,0,,Buse Nizam,17,18,19,20,21,22,23,0,,Buse Nizam,%,Total Gönderi,,Gece inbound,V1,1,2,,Buse Nizam,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet
YTD,"33,28%","34,70%",824.186,859.342,2.476.792,4.109.711,,YTD,"40,37%","42,42%",683.966,718.724,1.694.248,4.123.539,,YTD,"74,34%","67,84%","72,03%","33,10%","24,31%","37,05%","10,86%","9,98%",,YTD,"10,20%","12,94%","15,12%","38,19%","41,79%","28,63%","45,79%","40,10%",,YTD,"0,92%","9,08%","11,22%","11,53%","11,60%","23,66%","29,85%","2,13%",,YTD,,4.109.711,,,305.147,"3,27%","0,95%",,YTD,"33,28%","34,70%",824.186,859.342,2.476.792,4.109.711
Ankara Kazan SC,"12,90%","32,27%",66.191,165.618,513.243,1.514.999,,Ankara Kazan SC,"22,52%","48,18%",74.215,158.781,329.592,1.514.993,,Ankara Kazan SC,"69,86%","55,65%","9,91%","6,33%","0,07%","0,04%","0,00%","0,00%",,Ankara Kazan SC,"11,49%","14,27%","30,73%","41,86%","44,19%","38,88%","29,70%","12,68%",,Ankara Kazan SC,31.298,229.665,78.649,250.882,232.914,289.772,362.540,39.279,,Ankara Kazan SC,,1.514.999,,,120.595,25.798,11.448,,Pazartesi,"30,52%","39,51%",187.974,243.327,615.855,947.813
Esenyurt SC ,"34,53%","36,17%",219.859,230.326,636.724,794.232,,Esenyurt SC ,"39,51%","43,11%",211.052,230.323,534.220,794.220,,Esenyurt SC ,"87,84%","78,39%","85,83%","56,53%","27,07%","6,77%","2,50%","0,00%",,Esenyurt SC ,"5,12%","12,21%","5,62%","27,31%","43,51%","52,76%","52,82%","61,58%",,Esenyurt SC ,5.728,98.508,174.594,34.722,102.933,93.931,275.033,8.783,,Esenyurt SC ,,794.232,,,60.185,17.441,7.813,,Salı,"29,49%","36,01%",145.335,177.461,492.876,819.909
Gebze SC,"27,56%","53,00%",183.512,352.858,665.831,873.981,,Gebze SC,"34,93%","58,59%",140.902,236.344,403.362,887.838,,Gebze SC,"68,97%","67,53%","61,26%","41,82%","11,68%","16,33%","10,25%","0,16%",,Gebze SC,"18,10%","16,49%","26,55%","42,12%","65,91%","62,77%","66,36%","72,16%",,Gebze SC,912,26.973,161.441,168.260,93.889,140.924,265.576,16.006,,Gebze SC,,873.981,,,53.939,18.354,1.016,,Çarşamba,"30,19%","34,75%",135.473,155.930,448.761,736.459
Bursa MH,"64,76%","9,57%",216.275,31.973,333.986,355.595,,Bursa MH,"90,53%","8,83%",150.795,14.709,166.575,355.593,,Bursa MH,"0,00%","0,00%","0,00%","12,83%","86,62%","67,57%","49,98%","24,91%",,Bursa MH,"0,00%","0,00%","0,00%","43,78%","0,09%","7,67%","11,69%","35,07%",,Bursa MH,0,0,0,8.384,26.750,285.017,12.925,22.519,,Bursa MH,,355.595,,,32.101,3.739,3.134,,Perşembe,"31,88%","34,68%",101.249,110.154,317.628,534.964
Antalya MH,"11,95%","36,69%",25.579,78.559,214.097,408.654,,Antalya MH,"14,46%","43,80%",25.937,78.559,179.344,408.653,,Antalya MH,"0,00%","0,00%","0,00%","0,00%","73,91%","13,94%","2,55%","0,00%",,Antalya MH,"0,00%","0,00%","0,00%","0,00%","3,39%","32,13%","43,15%","35,28%",,Antalya MH,0,0,0,0,20.200,132.380,255.097,977,,Antalya MH,,408.654,,,38.327,15.759,0,,Cuma,"28,19%","38,79%",86.217,118.656,305.873,518.056
Denizli MH,"99,88%","0,00%",46.385,0,46.443,49.804,,Denizli MH,"99,95%","0,00%",14.680,0,14.687,49.804,,Denizli MH,"0,00%","0,00%","0,00%","99,93%","0,00%","100,00%","99,85%","0,00%",,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Denizli MH,0,0,0,11.580,0,3.015,35.209,0,,Denizli MH,,49.804,,,0,0,0,,Cumartesi,"56,77%","18,19%",167.938,53.814,295.799,552.510
İkitelli-Defne Transfer Merkezi,"99,88%","0,01%",66.385,8,66.468,112.446,,İkitelli-Defne Transfer Merkezi,"99,88%","0,01%",66.385,8,66.468,112.438,,İkitelli-Defne Transfer Merkezi,"0,00%","99,92%","99,88%","0,00%","0,00%","99,88%","99,81%","0,00%",,İkitelli-Defne Transfer Merkezi,"0,00%","0,01%","0,01%","0,00%","0,00%","0,00%","0,03%","0,00%",,İkitelli-Defne Transfer Merkezi,0,18.130,46.420,0,0,27.474,20.422,0,,İkitelli-Defne Transfer Merkezi,,112.446,,,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68,97%","97,38%",,,,,,,,,,,,,,,,,,
