v3,1 ile 10. satır aralığı yönetici bazlı v3 performans tablosudur (Varış merkezinde 12:00 den önce karşılanan seferleri hesaplar),,,,,,,Only City,,,,,,,,Saatlik 1. slot yetişme oranları,,,,,,,,,,Saatlik 2. slot yetişme oranları,,,,,,,,,,Saatlik hesaplanan adetler,,,,,,"69,39%","97,53%",,,01:00 den 16:00 ya kadar yüklenen adetler,,,,,,,,,Günlük yetişme oranları,,,,,,
Gebze SC,"9,97%","53,73%",7.207,38.840,72.283,98.462,,Gebze SC,"7,56%","35,97%",5.465,26.001,43.432,98.462,,Gebze SC,"9,70%","0,00%","29,56%","17,92%","0,00%","0,00%","50,59%","0,00%",,Gebze SC,"61,39%","0,00%","52,52%","64,22%","44,40%","50,14%","17,39%","0,00%",,Gebze SC,515,0,14.369,35.386,16.657,19.013,12.522,0,,Gebze SC,,98.462,,,5.136,933,0,,Çarşamba,"29,19%","28,91%",17.050,16.886,58.412,94.263
Bursa MH,"65,41%","10,35%",29.568,4.679,45.204,50.288,,Bursa MH,"43,99%","5,69%",19.886,2.572,22.948,50.288,,Bursa MH,"0,00%","0,00%","89,21%","82,60%","54,23%","77,58%","55,11%","29,48%",,Bursa MH,"0,00%","0,00%","1,06%","2,88%","15,68%","3,11%","8,10%","35,77%",,Bursa MH,0,0,4.636,5.496,5.267,19.855,7.399,7.635,,Bursa MH,,50.288,,,1.299,0,0,,Perşembe,"28,77%","31,84%",11.137,12.325,38.704,77.764
Antalya MH,"0,00%","39,88%",1,9.188,23.040,51.398,,Antalya MH,"0,00%","39,88%",1,9.188,19.041,51.398,,Antalya MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,01%","0,00%",,Antalya MH,"0,00%","0,00%","0,00%","22,61%","0,00%","0,00%","43,76%","0,00%",,Antalya MH,0,0,0,12.450,0,0,38.948,0,,Antalya MH,,51.398,,,0,0,0,,Cuma,"27,69%","39,25%",12.256,17.372,44.255,79.776
Denizli MH,"99,93%","0,00%",6.140,0,6.144,10.378,,Denizli MH,"30,42%","0,00%",1.869,0,1.869,10.378,,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","99,93%","0,00%",,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Denizli MH,0,0,0,0,0,0,10.378,0,,Denizli MH,,10.378,,,0,0,0,,Cumartesi,"43,93%","29,22%",12.547,8.347,28.562,60.542
İkitelli-Defne Transfer Merkezi,"99,97%","0,00%",7.640,0,7.642,14.155,,İkitelli-Defne Transfer Merkezi,"99,97%","0,00%",7.640,0,7.642,14.154,,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%","100,00%","0,00%","0,00%","0,00%","99,95%","0,00%",,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,İkitelli-Defne Transfer Merkezi,0,0,7.825,0,0,0,6.330,0,,İkitelli-Defne Transfer Merkezi,,14.155,,,0,0,0,,,,,,,,
16 Şubat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75,21%","98,60%",,,,,,,,,,,,,,,,,,
Seçkin Erol,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Seçkin Erol,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Seçkin Erol,17,18,19,20,21,22,23,0,,Seçkin Erol,17,18,19,20,21,22,23,0,,Seçkin Erol,17,18,19,20,21,22,23,0,,Seçkin Erol,%,Total Gönderi,,Gece inbound,V1 (01:00-16:00),1,2,,Seçkin Erol,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet
8,"38,05%","29,92%",136.905,107.658,359.771,569.017,,8,"26,85%","25,54%",96.607,91.895,243.676,569.009,,8,"84,95%","57,73%","60,20%","26,91%","53,41%","31,93%","13,86%","0,79%",,8,"6,27%","14,13%","17,20%","53,17%","22,41%","24,99%","41,74%","27,94%",,8,"9,39%","0,84%","15,76%","11,24%","16,03%","21,94%","23,38%","1,40%",,8,"5,26%",569.017,,,29.905,"0,3%","0,4%",,8,"38,05%","29,92%",136.905,107.658,359.771,569.017
Ankara Kazan SC,"9,71%","34,97%",6.576,23.682,67.724,200.754,,Ankara Kazan SC,"8,99%","34,46%",6.090,23.335,47.606,200.754,,Ankara Kazan SC,"60,06%","57,73%","5,24%","0,00%","0,00%","11,85%","33,08%","0,00%",,Ankara Kazan SC,"11,01%","14,13%","41,35%","54,94%","48,06%","26,18%","22,26%","32,64%",,Ankara Kazan SC,23.269,4.783,40.866,6.442,45.222,55.139,19.984,5.049,,Ankara Kazan SC,,200.754,,,4.618,1.113,607,,Pazartesi,"23,52%","39,14%",19.042,31.688,80.952,128.044
Esenyurt SC ,"36,10%","31,60%",31.009,27.147,85.907,109.920,,Esenyurt SC ,"33,08%","31,48%",28.417,27.040,71.632,109.915,,Esenyurt SC ,"0,00%","0,00%","81,09%","0,00%","39,00%","0,00%","4,08%","0,00%",,Esenyurt SC ,"0,00%","0,00%","7,97%","0,00%","35,49%","32,03%","53,35%","0,00%",,Esenyurt SC ,0,0,40.251,0,18.093,14.018,37.558,0,,Esenyurt SC ,,109.920,,,5.998,0,0,,Salı,"27,94%","34,30%",15.502,19.034,55.488,94.058
Gebze SC,"9,84%","55,27%",7.882,44.287,80.130,104.193,,Gebze SC,"6,27%","37,58%",5.028,30.114,48.081,104.193,,Gebze SC,"55,56%","0,00%","0,00%","16,00%","0,00%","1,05%","0,09%","0,00%",,Gebze SC,"35,29%","0,00%","0,00%","62,05%","0,00%","56,69%","47,54%","27,36%",,Gebze SC,4.090,0,0,50.845,0,18.999,27.484,2.775,,Gebze SC,,104.193,,,3.804,0,1.004,,Çarşamba,"36,18%","22,17%",23.179,14.208,64.073,96.646
Bursa MH,"72,35%","3,50%",30.663,1.483,42.384,44.789,,Bursa MH,"47,20%","0,82%",20.006,347,20.757,44.789,,Bursa MH,"0,00%","0,00%","0,00%","0,00%","80,26%","75,68%","52,51%","15,09%",,Bursa MH,"0,00%","0,00%","0,00%","0,00%","0,15%","2,95%","9,63%","0,00%",,Bursa MH,0,0,0,0,10.189,26.592,7.843,165,,Bursa MH,,44.789,,,1.854,0,0,,Perşembe,"45,95%","30,05%",26.967,17.635,58.693,89.608
Antalya MH,"51,95%","23,29%",24.668,11.059,47.487,65.638,,Antalya MH,"42,01%","23,29%",19.950,11.059,38.474,65.638,,Antalya MH,"96,31%","0,00%","0,00%","0,00%","0,00%","15,67%","0,00%","0,00%",,Antalya MH,"1,34%","0,00%","0,00%","0,00%","0,00%","39,87%","49,13%","0,00%",,Antalya MH,26.084,0,0,0,0,4.457,35.097,0,,Antalya MH,,65.638,,,0,0,0,,Cuma,"37,72%","35,30%",21.690,20.301,57.503,88.745
Denizli MH,"99,90%","0,00%",27.865,0,27.893,29.505,,Denizli MH,"31,81%","0,00%",8.874,0,8.880,29.505,,Denizli MH,"0,00%","0,00%","0,00%","99,92%","99,89%","0,00%","99,89%","0,00%",,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Denizli MH,0,0,0,6.692,17.720,0,5.093,0,,Denizli MH,,29.505,,,13.631,0,0,,Cumartesi,"70,89%","11,13%",30.525,4.792,43.062,71.916
İkitelli-Defne Transfer Merkezi,"99,95%","0,00%",8.242,0,8.246,14.218,,İkitelli-Defne Transfer Merkezi,"99,95%","0,00%",8.242,0,8.246,14.215,,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%","100,00%","0,00%","0,00%","99,88%","0,00%","0,00%",,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,İkitelli-Defne Transfer Merkezi,0,0,8.557,0,0,5.661,0,0,,İkitelli-Defne Transfer Merkezi,,14.218,,,0,0,0,,,,,,,,
23 Şubat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58,59%","98,06%",,,,,,,,,,,,,,,,,,
Buse Nizam,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Buse Nizam,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Buse Nizam,17,18,19,20,21,22,23,0,,Buse Nizam,17,18,19,20,21,22,23,0,,Buse Nizam,17,18,19,20,21,22,23,0,,Buse Nizam,%,Total Gönderi,,Gece inbound,V1 (01:00-16:00),1,2,,Buse Nizam,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet
9,"27,12%","36,94%",88.355,120.365,325.812,534.825,,9,"22,12%","30,16%",72.078,98.260,228.805,534.817,,9,"54,32%","76,08%","27,38%","15,95%","23,65%","41,05%","12,63%","19,42%",,9,"19,47%","8,69%","46,03%","53,07%","34,60%","27,93%","43,12%","43,95%",,9,"2,16%","12,99%","5,72%","11,36%","9,74%","16,62%","39,46%","1,94%",,9,"2,01%",534.825,,,10.736,"0,0%","0,3%",,9,"27,12%","36,94%",88.355,120.365,325.812,534.825
Ankara Kazan SC,"15,38%","25,44%",10.771,17.818,70.043,200.559,,Ankara Kazan SC,"14,56%","24,19%",10.199,16.945,48.271,200.558,,Ankara Kazan SC,"54,32%","56,89%","1,60%","17,92%","0,00%","0,00%","9,41%","61,33%",,Ankara Kazan SC,"19,47%","14,44%","32,56%","32,79%","34,89%","27,70%","22,57%","4,74%",,Ankara Kazan SC,11.534,29.761,6.783,29.122,26.014,26.135,67.684,3.526,,Ankara Kazan SC,,200.559,,,2.051,0,274,,Pazartesi,"30,10%","31,78%",23.512,24.824,78.110,115.567
Esenyurt SC ,"32,48%","35,77%",26.434,29.112,81.389,101.860,,Esenyurt SC ,"30,25%","35,77%",24.624,29.112,73.446,101.855,,Esenyurt SC ,"0,00%","80,52%","3,99%","0,00%","33,46%","99,01%","1,57%","0,00%",,Esenyurt SC ,"0,00%","7,69%","65,07%","0,00%","34,48%","0,76%","51,89%","0,00%",,Esenyurt SC ,0,30.697,8.265,0,26.095,0,36.803,0,,Esenyurt SC ,,101.860,,,5.193,0,0,,Salı,"22,24%","42,90%",14.067,27.134,63.255,104.585
Gebze SC,"15,87%","59,90%",13.914,52.522,87.689,111.563,,Gebze SC,"10,56%","40,11%",9.260,35.174,52.039,111.563,,Gebze SC,"0,00%","0,00%","43,29%","15,19%","0,00%","16,22%","7,85%","0,71%",,Gebze SC,"0,00%","0,00%","38,40%","60,93%","0,00%","63,68%","63,93%","71,93%",,Gebze SC,0,0,15.546,31.656,0,18.654,42.348,3.359,,Gebze SC,,111.563,,,2.527,0,786,,Çarşamba,"28,92%","33,59%",15.227,17.687,52.656,86.293
Bursa MH,"48,46%","20,57%",21.822,9.265,45.032,47.595,,Bursa MH,"36,71%","11,95%",16.533,5.381,22.275,47.595,,Bursa MH,"0,00%","0,00%","0,00%","0,00%","0,00%","52,34%","0,00%","0,00%",,Bursa MH,"0,00%","0,00%","0,00%","0,00%","0,00%","17,96%","0,00%","53,30%",,Bursa MH,0,0,0,0,0,44.081,0,3.514,,Bursa MH,,47.595,,,965,0,0,,Perşembe,"29,42%","36,45%",14.427,17.873,49.038,81.893
Antalya MH,"4,17%","42,54%",1.141,11.647,27.379,52.015,,Antalya MH,"4,17%","42,54%",1.141,11.647,22.448,52.015,,Antalya MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","4,17%","0,00%",,Antalya MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","42,54%","0,00%",,Antalya MH,0,0,0,0,0,0,52.015,0,,Antalya MH,,52.015,,,0,0,0,,Cuma,"5,80%","51,80%",2.835,25.334,48.906,81.933
Denizli MH,"99,95%","0,00%",5.805,0,5.808,6.112,,Denizli MH,"31,90%","0,00%",1.853,0,1.854,6.112,,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","99,95%","0,00%",,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Denizli MH,0,0,0,0,0,0,6.112,0,,Denizli MH,,6.112,,,0,0,0,,Cumartesi,"54,03%","22,20%",18.287,7.513,33.847,64.554
İkitelli-Defne Transfer Merkezi,"99,95%","0,01%",8.468,1,8.472,15.121,,İkitelli-Defne Transfer Merkezi,"99,95%","0,01%",8.468,1,8.472,15.119,,İkitelli-Defne Transfer Merkezi,"0,00%","99,96%","0,00%","0,00%","0,00%","0,00%","99,94%","0,00%",,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,03%","0,00%",,İkitelli-Defne Transfer Merkezi,0,9.018,0,0,0,0,6.103,0,,İkitelli-Defne Transfer Merkezi,,15.121,,,0,0,0,,,,,,,,
2 Mart,,,,,,,,,,,,,,,,,,Efektif,,,,,,,,,,,,,,,,,,,,,,,,"66,14%","98,37%",,,,,,,,,,,,,,,,,,
Mehmet Ali,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Mehmet Ali,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Mehmet Ali,17,18,19,20,21,22,23,0,,Mehmet Ali,17,18,19,20,21,22,23,0,,Mehmet Ali,17,18,19,20,21,22,23,0,,Mehmet Ali,%,Total Gönderi,,Gece inbound,V1 (01:00-16:00),1,2,,Mehmet Ali,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet
10,"29,14%","37,87%",117.399,152.563,402.825,677.344,,10,"22,96%","32,36%",92.498,130.363,277.119,677.275,,10,"51,00%","23,67%","74,21%","42,83%","5,93%","27,44%","20,17%","39,01%",,10,"13,64%","34,25%","11,71%","32,77%","54,60%","37,33%","42,65%","31,48%",,10,"0,91%","5,54%","9,09%","13,92%","13,53%","23,15%","32,23%","1,63%",,10,"1,64%",677.344,,40.095,51.202,"0,0%","2,4%",,10,"29,74%","37,89%",119.805,152.611,402.825,683.257
Ankara Kazan SC,"4,67%","35,48%",4.077,30.961,87.270,256.634,,Ankara Kazan SC,"4,30%","35,25%",3.751,30.761,57.612,256.611,,Ankara Kazan SC,"51,00%","23,67%","0,00%","1,58%","0,00%","0,00%","0,00%","73,09%",,Ankara Kazan SC,"13,64%","34,25%","52,69%","37,60%","38,86%","32,66%","36,15%","8,82%",,Ankara Kazan SC,6.197,37.491,8.465,35.990,49.615,58.555,57.107,3.214,,Ankara Kazan SC,,256.634,,,19.021,0,0,,Pazartesi,"24,59%","44,26%",19.992,35.979,81.297,130.464
Esenyurt SC ,"27,44%","45,03%",28.343,46.513,103.292,127.616,,Esenyurt SC ,"25,15%","45,03%",25.973,46.511,87.439,127.593,,Esenyurt SC ,"0,00%","0,00%","76,59%","0,00%","8,77%","0,93%","0,00%","0,00%",,Esenyurt SC ,"0,00%","0,00%","10,00%","0,00%","62,13%","60,68%","60,87%","0,00%",,Esenyurt SC ,0,0,43.584,0,42.006,6.869,35.157,0,,Esenyurt SC ,,127.616,,,14.893,0,4.850,,Salı,"28,16%","38,43%",18.899,25.790,67.107,106.882
Gebze SC,"32,32%","49,45%",34.029,52.074,105.302,145.612,,Gebze SC,"23,03%","32,37%",24.254,34.088,62.616,145.601,,Gebze SC,"0,00%","0,00%","0,00%","56,08%","0,00%","26,21%","2,87%","0,00%",,Gebze SC,"0,00%","0,00%","0,00%","31,22%","0,00%","54,63%","71,52%","72,61%",,Gebze SC,0,0,0,58.270,0,52.292,31.494,3.556,,Gebze SC,,145.612,,,12.548,0,4.680,,Çarşamba,"25,92%","41,94%",16.959,27.441,65.430,108.906
Bursa MH,"54,84%","17,16%",29.734,9.303,54.218,56.861,,Bursa MH,"40,00%","9,76%",21.688,5.291,27.023,56.855,,Bursa MH,"0,00%","0,00%","0,00%","0,00%","0,00%","48,52%","77,78%","40,53%",,Bursa MH,"0,00%","0,00%","0,00%","0,00%","0,00%","20,00%","6,83%","23,65%",,Bursa MH,0,0,0,0,0,39.095,13.464,4.302,,Bursa MH,,56.861,,,4.740,0,0,,Perşembe,"27,63%","37,47%",19.469,26.402,70.465,122.187
Antalya MH,"5,50%","41,15%",1.832,13.712,33.321,62.634,,Antalya MH,"5,50%","41,15%",1.831,13.712,27.426,62.634,,Antalya MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","5,50%","0,00%",,Antalya MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","41,15%","0,00%",,Antalya MH,0,0,0,0,0,0,62.634,0,,Antalya MH,,62.634,,,0,0,0,,Cuma,"24,26%","43,01%",16.398,29.066,67.587,114.952
Denizli MH,"99,45%","0,00%",6.482,0,6.518,6.917,,Denizli MH,"32,22%","0,00%",2.100,0,2.100,6.917,,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","99,45%","0,00%",,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Denizli MH,0,0,0,0,0,0,6.917,0,,Denizli MH,,6.917,,,0,0,0,,Cumartesi,"55,14%","15,57%",28.088,7.933,50.939,99.866
İkitelli-Defne Transfer Merkezi,"99,98%","0,00%",12.902,0,12.904,21.070,,İkitelli-Defne Transfer Merkezi,"99,98%","0,00%",12.901,0,12.903,21.064,,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%","99,98%","0,00%","0,00%","0,00%","99,99%","0,00%",,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,İkitelli-Defne Transfer Merkezi,0,0,9.538,0,0,0,11.532,0,,İkitelli-Defne Transfer Merkezi,,21.070,,,0,0,0,,,,,,,,
9 Mart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72,55%","98,02%",,,,,,,,,,,,,,,,,,
Seçkin Erol,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Seçkin Erol,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Seçkin Erol,17,18,19,20,21,22,23,0,,Seçkin Erol,17,18,19,20,21,22,23,0,,Seçkin Erol,17,18,19,20,21,22,23,0,,Seçkin Erol,%,Total Gönderi,,Gece inbound,V1 (01:00-16:00),1,2,,Seçkin Erol,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet
11,"34,26%","35,71%",128.461,133.913,374.960,568.304,,11,"25,73%","29,76%",96.465,111.595,246.034,568.044,,11,"45,44%","61,63%","76,22%","32,64%","14,88%","31,47%","28,09%","12,79%",,11,"22,68%","17,55%","9,91%","39,27%","43,31%","36,36%","41,08%","54,68%",,11,"1,27%","12,24%","4,55%","15,96%","10,44%","28,09%","25,48%","1,98%",,11,"6,28%",568.304,,58.250,93.957,"4,9%","0,5%",,11,"34,26%","35,71%",128.461,133.913,374.960,568.304
Ankara Kazan SC,"10,62%","34,30%",8.535,27.566,80.362,186.590,,Ankara Kazan SC,"9,89%","33,52%",7.945,26.939,50.025,186.438,,Ankara Kazan SC,"45,44%","48,22%","0,00%","4,60%","0,00%","0,00%","0,00%","0,00%",,Ankara Kazan SC,"22,68%","15,83%","0,00%","40,38%","39,57%","36,85%","38,81%","0,00%",,Ankara Kazan SC,7.224,28.726,0,32.581,33.813,49.479,34.767,0,,Ankara Kazan SC,,186.590,,,45.893,18.524,755,,Pazartesi,"31,62%","32,74%",23.692,24.533,74.924,106.953
Esenyurt SC ,"27,74%","44,17%",29.442,46.873,106.125,134.134,,Esenyurt SC ,"25,56%","44,17%",27.129,46.873,88.546,134.089,,Esenyurt SC ,"0,00%","62,29%","73,95%","65,89%","26,57%","3,36%","0,55%","0,00%",,Esenyurt SC ,"0,00%","20,92%","9,69%","16,93%","46,25%","63,38%","61,39%","69,58%",,Esenyurt SC ,0,23.688,17.619,7.439,25.520,16.248,39.782,3.838,,Esenyurt SC ,,134.134,,,17.526,0,0,,Salı,"32,89%","38,58%",27.293,32.019,82.989,109.584
Gebze SC,"26,93%","51,22%",27.809,52.894,103.261,145.899,,Gebze SC,"18,14%","33,59%",18.736,34.682,60.621,145.873,,Gebze SC,"0,00%","62,72%","81,15%","40,33%","0,00%","6,57%","15,76%","0,00%",,Gebze SC,"0,00%","23,84%","10,40%","42,72%","0,00%","68,18%","55,56%","71,37%",,Gebze SC,0,9.296,8.213,50.661,0,41.821,32.395,3.513,,Gebze SC,,145.899,,,19.648,0,0,,Çarşamba,"26,48%","43,08%",15.651,25.464,59.104,82.276
Bursa MH,"63,81%","11,00%",35.223,6.074,55.203,58.440,,Bursa MH,"46,20%","4,70%",25.505,2.595,28.153,58.434,,Bursa MH,"0,00%","0,00%","0,00%","0,00%","0,00%","67,91%","25,36%","34,73%",,Bursa MH,"0,00%","0,00%","0,00%","0,00%","0,00%","8,47%","36,84%","27,65%",,Bursa MH,0,0,0,0,0,52.079,2.471,3.890,,Bursa MH,,58.440,,,10.890,0,948,,Perşembe,"35,61%","37,20%",20.749,21.671,58.260,94.258
Antalya MH,"46,06%","12,39%",1.877,505,4.075,8.895,,Antalya MH,"44,66%","12,39%",1.820,505,3.352,8.895,,Antalya MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","46,06%","0,00%",,Antalya MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","12,39%","0,00%",,Antalya MH,0,0,0,0,0,0,8.895,0,,Antalya MH,,8.895,,,0,0,0,,Cuma,"30,06%","38,62%",16.477,21.173,54.820,89.674
Denizli MH,"97,68%","0,00%",14.940,0,15.295,16.096,,Denizli MH,"30,79%","0,00%",4.710,0,4.712,16.094,,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","97,68%","0,00%",,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Denizli MH,0,0,0,0,0,0,16.096,0,,Denizli MH,,16.096,,,0,0,0,,Cumartesi,"54,83%","20,18%",24.599,9.053,44.863,85.559
İkitelli-Defne Transfer Merkezi,"99,96%","0,01%",10.635,1,10.639,18.250,,İkitelli-Defne Transfer Merkezi,"99,82%","0,01%",10.620,1,10.625,18.221,,İkitelli-Defne Transfer Merkezi,"0,00%","99,95%","0,00%","0,00%","0,00%","0,00%","99,97%","0,00%",,İkitelli-Defne Transfer Merkezi,"0,00%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,İkitelli-Defne Transfer Merkezi,0,7.876,0,0,0,0,10.374,0,,İkitelli-Defne Transfer Merkezi,,18.250,,,0,0,0,,,,,,,,
16 Mart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"71,16%","96,04%",,,,,,,,,,,,,,,,,,
Buse Nizam,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Buse Nizam,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Buse Nizam,17,18,19,20,21,22,23,0,,Buse Nizam,17,18,19,20,21,22,23,0,,Buse Nizam,17,18,19,20,21,22,23,0,,Buse Nizam,%,Total Gönderi,,Gece inbound,V1 (01:00-16:00),1,2,,Buse Nizam,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet
12,"25,20%","34,30%",54.186,73.769,215.053,350.699,,12,"19,42%","28,31%",41.755,60.889,142.443,350.688,,12,"87,84%","57,52%","54,05%","32,25%","8,25%","22,67%","15,42%","5,69%",,12,"5,12%","13,30%","15,52%","41,54%","50,60%","25,58%","44,75%","51,53%",,12,"1,63%","11,86%","11,14%","2,28%","19,21%","25,03%","24,89%","3,96%",,12,"0,54%",350.699,,9.428,11.338,"0,2%","0,6%",,12,"25,20%","34,30%",54.186,73.769,215.053,350.699
Ankara Kazan SC,"5,80%","26,82%",2.446,11.308,42.155,132.283,,Ankara Kazan SC,"5,72%","26,22%",2.411,11.051,26.453,132.279,,Ankara Kazan SC,"0,00%","33,56%","0,97%","0,00%","0,00%","0,00%","0,00%","0,00%",,Ankara Kazan SC,"0,00%","13,52%","25,59%","0,00%","35,36%","27,17%","29,42%","0,00%",,Ankara Kazan SC,0,19.778,21.235,0,34.643,23.896,31.251,1.480,,Ankara Kazan SC,,132.283,,,2.446,0,682,,Pazartesi,"21,20%","44,49%",19.699,41.345,92.929,149.520
Esenyurt SC ,"26,11%","38,83%",16.061,23.885,61.512,77.458,,Esenyurt SC ,"23,31%","38,83%",14.339,23.885,51.562,77.455,,Esenyurt SC ,"87,84%","78,13%","90,84%","32,25%","3,74%","2,68%","0,00%","0,00%",,Esenyurt SC ,"5,12%","10,98%","0,02%","41,54%","63,55%","30,96%","63,19%","69,58%",,Esenyurt SC ,5.728,7.483,8.632,7.985,8.206,17.418,19.333,2.673,,Esenyurt SC ,,77.458,,,3.951,198,271,,Salı,"24,21%","41,64%",18.805,32.340,77.675,122.505
Gebze SC,"24,56%","46,67%",13.310,25.290,54.186,73.374,,Gebze SC,"17,69%","29,66%",9.588,16.070,31.528,73.373,,Gebze SC,"0,00%","63,40%","67,80%","0,00%","14,48%","1,13%","0,00%","0,00%",,Gebze SC,"0,00%","14,45%","20,65%","0,00%","54,87%","57,34%","69,75%","71,37%",,Gebze SC,0,14.335,9.214,0,24.516,11.001,11.585,2.723,,Gebze SC,,73.374,,,4.577,248,0,,Çarşamba,"35,28%","0,19%",15.682,84,44.449,78.674
Bursa MH,"42,29%","22,37%",13.442,7.111,31.782,33.797,,Bursa MH,"39,32%","11,67%",12.497,3.708,16.271,33.795,,Bursa MH,"0,00%","0,00%","0,00%","0,00%","0,00%","49,14%","0,00%","11,92%",,Bursa MH,"0,00%","0,00%","0,00%","0,00%","0,00%","15,64%","0,00%","27,65%",,Bursa MH,0,0,0,0,0,27.778,0,6.019,,Bursa MH,,33.797,,,364,0,334,,Perşembe,"0,00%","0,00%",0,0,0,0
Antalya MH,"0,29%","37,42%",48,6.175,16.502,24.312,,Antalya MH,"0,25%","37,42%",41,6.175,13.745,24.311,,Antalya MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,40%","0,00%",,Antalya MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","48,56%","0,00%",,Antalya MH,0,0,0,0,0,7.699,15.636,977,,Antalya MH,,24.312,,,0,0,0,,Cuma,"0,00%","0,00%",0,0,0,0
Denizli MH,"99,59%","0,00%",8.879,0,8.916,9.475,,Denizli MH,"32,29%","0,00%",2.879,0,2.884,9.475,,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","99,59%","0,00%",,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Denizli MH,0,0,0,0,0,0,9.475,0,,Denizli MH,,9.475,,,0,0,0,,Cumartesi,"0,00%","0,00%",0,0,0,0
