v3,1 ile 10. satır aralığı yönetici bazlı v3 performans tablosudur (Varış merkezinde 12:00 den önce karşılanan seferleri hesaplar),,,,,,,Only City,,,,,,,,Saatlik 1. slot yetişme oranları,,,,,,,,,,Saatlik 2. slot yetişme oranları,,,,,,,,,,Saatlik hesaplanan adetler,,,,,,0.6905103146,0.9747892704,,,01:00 den 16:00 ya kadar yüklenen adetler,,,,,,,,,Günlük yetişme oranları,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6780595046,0.9803882884,,,,,,,,,,,,,,,,,,
Buse Nizam,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Buse Nizam,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Buse Nizam,17,18,19,20,21,22,23,0,,Buse Nizam,17,18,19,20,21,22,23,0,,Buse Nizam,17,18,19,20,21,22,23,0,,Buse Nizam,%,Total Gönderi,,Gece inbound,V1,1,2,,Buse Nizam,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet
YTD,0.3267114211,0.3477079152,695747,740460,2129546,3507496,,YTD,0.3962403721,0.4238297568,575301,615358,1451899,3512063,,YTD,0.7434434905,0.6883396233,0.7047350395,0.3444946034,0.2297272052,0.3672852521,0.1071604014,0.1187162084,,YTD,0.1020228155,0.1252633159,0.157312613,0.3792395237,0.4245127322,0.2842358218,0.4520116472,0.3615495561,,YTD,0.01081626323,0.09606710884,0.09996362077,0.1233147522,0.1190444693,0.2288532902,0.3023287838,0.0196117116,,YTD,,3507496,,,219188,0.02603090048,0.008535622147,,YTD,0.3267114211,0.3477079152,695747,740460,2129546,3507496
Ankara Kazan SC,0.1329879458,0.3067444476,58064,133928,436611,1291259,,Ankara Kazan SC,0.2373990408,0.4564658477,66575,128009,280435,1291253,,Ankara Kazan SC,0.6986404834,0.5588216201,0.07926544587,0.06747138342,0.0007462018327,0.0004966634405,0,0,,Ankara Kazan SC,0.1148875462,0.1352618117,0.3252062043,0.4120521605,0.4308867863,0.3720136519,0.262035044,0.06515641855,,Ankara Kazan SC,31298,193344,71439,213397,208336,239767,303779,29899,,Ankara Kazan SC,,1291259,,,86066,25798,6462,,Pazartesi,0.3202725662,0.383392097,175314,209865,547390,831987
Esenyurt SC ,0.3453801853,0.3571887372,190348,196856,551126,685835,,Esenyurt SC ,0.3849598915,0.4252887966,178186,196853,462869,685823,,Esenyurt SC ,0.8784478728,0.7839265432,0.8434309832,0.5653443305,0.2593520417,0.1396190924,0.01846080427,0,,Esenyurt SC ,0.05119214586,0.1220767136,0.06302887914,0.2730557279,0.4413047429,0.4716043577,0.5230918317,0.669259724,,Esenyurt SC ,5728,98508,131733,34722,93801,75098,241857,4388,,Esenyurt SC ,,685835,,,39878,6128,7565,,Salı,0.2881649551,0.3586779536,124591,155078,432360,711111
Gebze SC,0.2561087475,0.5427415762,146580,310630,572335,746042,,Gebze SC,0.3290529835,0.6040002907,113186,207761,343975,750638,,Gebze SC,0.6896551724,0.6753146276,0.61003861,0.418216882,0.1038123167,0.1452297369,0.06793048973,0.002114611969,,Gebze SC,0.1810344828,0.1648958118,0.2732676285,0.4211850417,0.6738368867,0.6310766975,0.6867276937,0.6820680905,,Gebze SC,912,26973,111039,168260,79779,114153,233160,11766,,Gebze SC,,746042,,,33215,7271,1016,,Çarşamba,0.3037563594,0.3375573831,117383,130445,386438,635359
Bursa MH,0.6312063874,0.1062108116,181908,30609,288191,304327,,Bursa MH,0.8938206956,0.09903788209,129040,14298,144369,304325,,Bursa MH,0,0,0,0,0.8661702636,0.6600037246,0.4997973904,0.2455218534,,Bursa MH,0,0,0,0.5171849427,0.0008760054153,0.08642905918,0.1168652241,0.3554334846,,Bursa MH,0,0,0,4567,26750,238327,12925,21758,,Bursa MH,,304327,,,21702,478,3134,,Perşembe,0.2894063293,0.3634664753,75419,94719,260599,436551
Antalya MH,0.08813235583,0.3844217859,15688,68429,178005,334559,,Antalya MH,0.1133605417,0.4600918449,16860,68429,148729,334558,,Antalya MH,0,0,0,0,0.8114716107,0.106319456,0.02959259228,0,,Antalya MH,0,0,0,0,0.004866743917,0.3461394925,0.4272830889,0.3527542373,,Antalya MH,0,0,0,0,8882,111635,213065,977,,Antalya MH,,334559,,,38327,15759,0,,Cuma,0.2570798369,0.4051404677,63754,100472,247993,417244
Denizli MH,0.9987511573,0,46385,0,46443,49804,,Denizli MH,0.999523388,0,14680,0,14687,49804,,Denizli MH,0,0,0,0.9992510766,0,1,0.9984840675,0,,Denizli MH,0,0,0,0,0,0,0,0,,Denizli MH,0,0,0,11580,0,3015,35209,0,,Denizli MH,,49804,,,0,0,0,,Cumartesi,0.546721305,0.1957914321,139286,49881,254766,475244
İkitelli-Defne Transfer Merkezi,0.9989267177,0.0001407583355,56774,8,56835,95670,,İkitelli-Defne Transfer Merkezi,0.9989267177,0.0001407583355,56774,8,56835,95662,,İkitelli-Defne Transfer Merkezi,0,0.9992330553,0.9989511823,0,0,0.9994555495,0.998090844,0,,İkitelli-Defne Transfer Merkezi,0,9.586808551e-05,0.000143020595,0,0,0,0.0003181926657,0,,İkitelli-Defne Transfer Merkezi,0,18130,36411,0,0,20707,20422,0,,İkitelli-Defne Transfer Merkezi,,95670,,,0,0,0,,,,,,,,
